Aultbea: 14.7&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/01-s.png
Tiree: 18.0&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/03-s.png
Edinburgh/Gogarbank: 13.8&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/08-s.png
Albemarle: 10.9&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/11-s.png
Linton on Ouse: 14.1&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/08-s.png
Rostherne No 2: 17.9&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/08-s.png
Weybourne: 12.0&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/11-s.png
Wittering: 13.0 &deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/11-s.png
Northolt: 14.0&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/08-s.png
Lyneham: 13.7&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/08-s.png
Middle Wallop: 13.9&deg;C https://apidev.accuweather.com/developers/Media/Default/WeatherIcons/08-s.png
